レースID,年月日,レースNo,レース名,クラス,種別,距離,天候,状態,発走,競馬場,条件,
201605040509,2016年10月16日,9,第18回東京ハイジャンプ,J.G2,障芝,3110,曇,良,14:15,4回東京5日目,障害3歳以上オープン(混)(別定),
201605040611,2016年10月22日,11,第19回富士ステークス,G3,芝左,1600,曇,良,15:45,4回東京6日目,3歳以上オープン(国際)(指)(別定),
201605040811,2016年10月29日,11,第5回アルテミスステークス,G3,芝左,1600,曇,良,15:45,4回東京8日目,2歳オープン(国際),
201605040911,2016年10月30日,11,第154回天皇賞,秋)(G1,芝左,2000,曇,良,15:40,4回東京9日目,3歳以上オープン(国際)(指)(定量),
201605050111,2016年11月5日,11,第52回京王杯2歳ステークス,G2,芝左,1400,晴,良,15:35,5回東京1日目,2歳オープン(国際)(指)(馬齢),
201605050211,2016年11月6日,11,第54回アルゼンチン共和国杯,G2,芝左,2500,晴,良,15:35,5回東京2日目,3歳以上オープン(国際)(特指)(ハンデ),
201605050311,2016年11月12日,11,第21回東京中日S杯武蔵野S,G3,ダ左,1600,晴,重,15:30,5回東京3日目,3歳以上オープン(国際)(指)(別定),
201605050511,2016年11月19日,11,第21回東京スポーツ杯2歳S,G3,芝左,1800,小雨,稍重,15:30,5回東京5日目,2歳オープン(国際)(指)(馬齢),
201605050811,2016年11月27日,11,第36回ジャパンカップ,G1,芝左,2400,小雨,良,15:40,5回東京8日目,3歳以上オープン(国際)(指)(定量),
201606010111,2016年1月5日,11,第65回日刊スポ賞中山金杯,G3,芝右,2000,晴,良,15:30,1回中山1日目,4歳以上オープン(国際)[指](ハンデ),
201606010411,2016年1月11日,11,第32回フェアリーステークス,G3,芝右 外,1600,晴,良,15:35,1回中山4日目,3歳オープン(国際),
201606010611,2016年1月17日,11,第56回京成杯,G3,芝右,2000,曇,良,15:35,1回中山6日目,3歳オープン(国際)(特指)(別定),
201606010811,2016年1月24日,11,第57回アメリカジョッキーC,G2,芝右 外,2200,晴,良,15:35,1回中山8日目,4歳以上オープン(国際)[指](別定),
201606020211,2016年2月28日,11,第90回中山記念,G2,芝右,1800,晴,良,15:45,2回中山2日目,4歳以上オープン(国際)[指](別定),
201606020311,2016年3月5日,11,第11回夕刊フジオーシャンS,G3,芝右 外,1200,曇,良,15:45,2回中山3日目,4歳以上オープン(国際)(指)(別定),
201606020411,2016年3月6日,11,第53回報知杯弥生賞,G2,芝右,2000,曇,良,15:45,2回中山4日目,3歳オープン(国際)(指)(馬齢),
201606020611,2016年3月13日,11,第34回中山牝馬ステークス,G3,芝右,1800,曇,良,15:45,2回中山6日目,4歳以上オープン(国際),
